model,forecast,series_id,prediction_rmse,prediction_mae
RandomForestRegressor,Daily,100017,876740.2611731,874700.2054934951
RandomForestRegressor,Daily,100036,2384083.1397430883,2359514.942779377
RandomForestRegressor,Daily,100137,7083288.365739949,6780262.81204742
RandomForestRegressor,Daily,100481,729678.8540413895,728440.4557229229
RandomForestRegressor,Daily,100719,912092.2897351778,911984.1902743869
RandomForestRegressor,Daily,100755,6373542.769788492,6331388.057258531
RandomForestRegressor,Daily,101003,1446464.5968437053,1390158.629768531
RandomForestRegressor,Daily,101010,381543.3139758424,362622.41305972904
RandomForestRegressor,Daily,101357,872377.5671815501,815437.961307519
