model,forecast,series_id,prediction_rmse,prediction_mae
RandomForestRegressor,Weekly,100285,3626348.8911564825,3626177.259661453
RandomForestRegressor,Weekly,100345,1344580.084982793,1344481.3994425298
RandomForestRegressor,Weekly,100560,4787964.360933641,4751240.329556474
RandomForestRegressor,Weekly,100655,18118023.475870546,18114558.69297048
RandomForestRegressor,Weekly,100865,2691271.5818652823,2689691.176715651
RandomForestRegressor,Weekly,101176,5556729.434768871,5556721.970592837
RandomForestRegressor,Weekly,101716,2483351.0745101986,2483313.075499411
RandomForestRegressor,Weekly,101833,2979005.4957159813,2973906.398828284
RandomForestRegressor,Weekly,102341,9781518.041415662,9779827.821175
